oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.035,,0.035,,
,,,,,,833.333,0.291,,0.326,,
,,,,,,-53.571,-0.174,,0.151,,
,,,,,,669.231,1.012,,1.163,,
,,,,,,-70.0,-0.814,,0.349,,
,,,,,,96.667,0.337,,0.686,,
,,,,,,133.898,0.919,,1.605,,
,,,,,,105.072,1.686,,3.291,,
,,,,,,-20.495,-0.675,,2.617,,
,,,,,,-33.778,-0.884,,1.733,,
,,,,,,22.819,0.395,,2.128,,
,,,,,,-4.918,-0.105,,2.024,,
,,,,,,-11.494,-0.233,,1.791,,
,,,,,,7.143,0.128,,1.919,,
,,,,,,10.303,0.198,,2.117,,
,,,,,,-4.396,-0.093,,2.024,,
,,,,,,6.897,0.14,,2.163,,
,,,,,,44.624,0.965,,3.128,,
,,,,,,2.23,0.07,,3.198,,
,,,,,,4.364,0.14,,3.338,,
,,,,,,1.045,0.035,,3.373,,
,,,,,,-6.207,-0.209,,3.163,,
,,,,,,-11.765,-0.372,,2.791,,
,,,,,,-7.5,-0.209,,2.582,,
,,,,,,-18.018,-0.465,,2.117,,
,,,,,,0.549,0.012,,2.128,,
,,,,,,-4.918,-0.105,,2.024,,
,,,,,,31.609,0.64,,2.663,,
,,,,,,193.013,5.14,,7.804,,
,,,,,,39.195,3.059,,10.862,,
,,,,,,31.37,3.408,,14.27,,
,,,,,,-3.26,-0.465,,13.805,,
,,,,,,8.677,1.198,,15.003,,
,,,,,,5.271,0.791,,15.794,,
,,,,,,-0.368,-0.058,,15.735,,
,,,,,,-5.026,-0.791,,14.945,,
,,,,,,4.047,0.605,,15.549,,
,,,,,,41.66,6.478,,22.027,,
,,,,,,21.753,4.792,,26.819,,
,,,,,,14.874,3.989,,30.808,,
,,,,,,-8.834,-2.721,,28.086,,
,,,,,,3.478,0.977,,29.063,,
,,,,,,1.601,0.465,,29.529,,
,,,,,,-14.888,-4.396,,25.132,,
,,,,,,-8.468,-2.128,,23.004,,
,,,,,,-5.561,-1.279,,21.725,,
,,,,,,43.308,9.409,,31.134,,
