gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy
4.889,19.635,421.27,,50.544,,4.503,34.831,,808.283,15.416,15.932
-2.048,-8.626,412.644,,55.133,,3.108,25.124,,833.407,16.26,15.563
4.649,19.184,431.828,,62.102,,-5.251,-43.76,,789.646,17.676,15.756
6.812,29.416,461.243,,66.314,,10.518,83.059,,872.705,18.283,16.175
4.975,22.948,484.192,,69.992,,6.946,60.62,,933.325,18.315,16.558
-2.007,-9.716,474.476,,75.844,,11.602,108.286,,1041.611,18.919,15.889
5.24,24.861,499.337,,77.33,,6.5,67.705,,1109.316,19.025,16.467
0.938,4.683,504.02,,86.09,,9.682,107.409,,1216.726,20.567,16.127
10.476,52.803,556.822,,91.843,,11.037,134.287,,1351.012,20.864,17.424
13.975,77.814,634.636,,100.978,,2.768,37.401,,1388.413,21.994,19.174
5.673,36.0,670.636,,115.955,,4.387,60.906,,1449.319,23.781,20.002
6.099,40.9,711.536,,123.984,,7.373,106.862,,1556.181,24.356,20.244
10.058,71.57,783.106,,141.143,,5.112,79.552,,1635.733,26.1,20.749
3.182,24.922,808.028,,151.724,,3.965,64.858,,1700.592,27.073,21.346
4.421,35.72,843.748,,164.536,,8.282,140.85,,1841.442,28.071,21.866
6.716,56.667,900.414,,174.977,,6.263,115.325,,1956.767,28.652,22.479
3.897,35.088,935.503,,184.685,,3.667,71.756,,2028.522,29.619,22.037
0.613,5.736,941.238,,192.544,,-5.696,-115.547,,1912.975,30.557,21.805
4.269,40.181,981.42,,218.899,,5.316,101.687,,2014.662,32.54,22.051
8.169,80.174,1061.593,,236.507,,-0.453,-9.132,,2005.53,34.346,23.663
8.114,86.142,1147.735,,261.457,,3.053,61.228,,2066.758,36.182,24.601
1.994,22.884,1170.619,,268.418,,-3.692,-76.296,,1990.462,36.005,24.408
2.801,32.791,1203.41,,277.072,,0.283,5.637,,1996.098,35.981,24.42
10.244,123.277,1326.687,,288.892,,4.246,84.761,,2080.859,36.569,26.273
3.377,44.801,1371.489,,304.539,,1.825,37.971,,2118.831,38.088,26.465
5.729,78.571,1450.059,,326.041,,8.334,176.589,,2295.419,39.46,27.278
6.511,94.413,1544.472,,341.624,,5.334,122.436,,2417.855,40.231,28.423
0.457,7.062,1551.534,,356.602,,0.517,12.511,,2430.366,41.118,27.906
-0.941,-14.605,1536.928,,353.612,,-4.777,-116.11,,2314.256,41.49,29.18
9.615,147.776,1684.705,,375.981,,11.908,275.572,,2589.828,41.919,30.017
-3.542,-59.667,1625.038,,363.229,,-3.87,-100.236,,2489.593,40.687,28.88
,,,,89.71,,,,,,21.332,
,,,,96.38,,,,,,22.042,
,,,,112.36,,,,,,24.302,
,,,,119.15,,,,,,24.556,
,,,,134.5,,,,,,26.103,
,,,,143.71,,,,,,26.829,
,,,,155.06,,,,,,27.795,
,,,,166.01,,,,,,28.461,
,,,,173.11,,,,,,29.204,
,,,,177.79,,,,,,29.856,
,,,,221.1,,,,,,33.343,
,,,,226.02,,,,,,33.745,
,,,,246.8,,,,,,35.492,
,,,,251.17,,,,,,35.231,
,,,,259.51,,,,,,35.125,
,,,,275.27,,,,,,36.167,
,,,,278.15,,,,,,36.169,
,,,,303.6,,,,,,37.993,
,,,,312.0,,,,,,38.281,
,,,,311.49,,,,,,37.641,
,,,,304.16,,,,,,37.666,
,,,,321.16,,,,,,38.264,
,,,,293.33,,,,,,32.752,
,,,,,,,,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.0,,0.0,,
,,,,,,,0.843,,0.843,,
,,,,,,0.0,0.0,,0.843,,
,,,,,,2.899,0.024,,0.867,,
,,,,,,1.408,0.012,,0.879,,
,,,,,,5.536,0.049,,0.928,,
,,,,,,7.878,0.073,,1.001,,
,,,,,,2.423,0.024,,1.025,,
,,,,,,8.272,0.085,,1.11,,
,,,,,,10.925,0.121,,1.231,,
,,,,,,-0.978,-0.012,,1.219,,
,,,,,,10.989,0.134,,1.353,,
,,,,,,-0.853,-0.012,,1.342,,
,,,,,,6.396,0.086,,1.428,,
,,,,,,15.303,0.218,,1.646,,
,,,,,,7.419,0.122,,1.768,,
,,,,,,60.776,1.075,,2.843,,
,,,,,,59.692,1.697,,4.54,,
,,,,,,34.124,1.549,,6.089,,
,,,,,,85.973,5.235,,11.323,,
,,,,,,176.044,19.934,,31.258,,
,,,,,,22.341,6.983,,38.241,,
,,,,,,-16.316,-6.24,,32.001,,
,,,,,,39.987,12.796,,44.798,,
,,,,,,-16.113,-7.218,,37.58,,
,,,,,,6.514,2.448,,40.028,,
,,,,,,20.908,8.369,,48.397,,
,,,,,,72.847,35.256,,83.652,,
,,,,,,43.108,36.061,,119.713,,
,,,,,,6.421,7.686,,127.4,,
,,,,,,42.545,54.202,,181.602,,
,,,,,,7.564,13.737,,195.339,,
,,,,,,-5.587,-10.913,,184.426,,
,,,,,,39.64,73.107,,257.533,,
,,,,,,66.884,172.248,,429.78,,
,,,,,,-47.03,-202.127,,227.653,,
,,,,,,53.428,121.63,,349.283,,
,,,,,,19.803,69.168,,418.451,,
,,,,,,36.146,151.254,,569.705,,
,,,,,,6.65,37.888,,607.592,,
,,,,,,2.725,16.559,,624.151,,
,,,,,,0.825,5.15,,629.301,,
,,,,,,12.26,77.151,,706.452,,
,,,,,,6.573,46.434,,752.886,,
,,,,,,6.579,49.532,,802.418,,
,,,,,,2.886,23.162,,825.58,,
,,,,,,9.124,75.327,,900.907,,
,,,,,,4.584,41.295,,942.202,,
,,,,,,-0.637,-5.999,,936.204,,
,,,,,,-3.121,-29.217,,906.987,,
,,,,,,10.652,96.615,,1003.601,,
,,,,,,3.72,37.336,,1040.937,,
,,,,,,9.455,98.423,,1139.36,,
,,,,,,5.292,60.3,,1199.66,,
,,,,,,8.631,103.543,,1303.203,,
,,,,,,10.107,131.717,,1434.92,,
,,,,,,3.813,54.715,,1489.635,,
,,,,,,1.088,16.206,,1505.841,,
,,,,,,8.742,131.645,,1637.486,,
,,,,,,3.969,64.988,,1702.474,,
,,,,,,16.618,282.923,,1985.397,,
,,,,,,10.719,212.815,,2198.212,,
,,,,,,-0.495,-10.875,,2187.337,,
,,,,,,5.254,114.928,,2302.265,,
,,,,,,-3.615,-83.216,,2219.049,,
,,,,,,2.863,63.542,,2282.591,,
,,,,,,1.126,25.699,,2308.29,,
,,,,,,4.64,107.115,,2415.405,,
,,,,,,-5.821,-140.6,,2274.805,,
,,,,,,0.193,4.385,,2279.19,,
,,,,,,-1.26,-28.716,,2250.473,,
,,,,,,2.248,50.601,,2301.075,,
,,,,,,,,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
,,,,,,,0.0,0.0,0.0,,
